code,date,score,reason,name,event_type,confidence,label,holding_days,vol,factor
=300634,2026-04-13 00:00:00,0.5,盈利增长分红比例近三成,彩讯股份,分红,0.8,利多,10.0,1.0,-0.5585286311461483
=600628,2026-04-13 00:00:00,0.5,稳定现金分红回馈股东,新世界,分红,0.85,利多,10.0,1.0,-0.5585286311461483
=600847,2026-04-13 00:00:00,0.5,仲裁执行回款四千余万,万里股份,仲裁执行,0.75,利多,7.0,1.0,-0.5585286311461483
=601777,2026-04-13 00:00:00,0.5,分配预留份额激励员工,千里科技,员工持股,0.8,利多,7.0,1.0,-0.5585286311461483
=603323,2026-04-13 00:00:00,0.5,高管自愿增持显信心,苏农银行,增持,0.7,利多,7.0,1.0,-0.5585286311461483
=000977,2026-04-13 00:00:00,0.3,净利微增且分红比例偏低,浪潮信息,分红,0.75,利多,7.0,1.0,-0.6679370730082999
=003033,2026-04-13 00:00:00,0.3,分红方案落地，即将派发现金,征和工业,分红实施,0.9,中性,3.0,1.0,-0.6679370730082999
=600609,2026-04-13 00:00:00,0.3,净利下滑但维持分红回购,金杯汽车,分红,0.75,利多,7.0,1.0,-0.6679370730082999
=603093,2026-04-13 00:00:00,0.3,提及国际化布局及潜在并购,南华期货,业绩说明会,0.6,利多,7.0,1.0,-0.6679370730082999
=603587,2026-04-13 00:00:00,0.3,注销到期未用回购股份,地素时尚,回购注销,0.8,利多,5.0,1.0,-0.6679370730082999
=603701,2026-04-13 00:00:00,0.3,超高比例分红但净利骤降,德宏股份,分红,0.7,利多,5.0,1.0,-0.6679370730082999
=688180,2026-04-13 00:00:00,0.3,减持期满未实施抛压解除,君实生物,减持,0.85,利多,5.0,1.0,-0.6679370730082999
=688566,2026-04-13 00:00:00,0.3,预留授予落地提振信心,吉贝尔,股权激励,0.75,利多,7.0,1.0,-0.6679370730082999
=002510,2026-04-13 00:00:00,0.1,重组有序推进，符合预期,天汽模,重组,0.75,利多,10.0,1.0,-0.7226412939393757
=300403,2026-04-13 00:00:00,0.2,净利平稳，分红比例常规,汉宇集团,分红,0.8,中性,5.0,1.0,-0.7226412939393757
=601228,2026-04-13 00:00:00,0.2,净利降但维持30%分红,广州港,分红,0.8,中性,10.0,1.0,-0.7226412939393757
=603055,2026-04-13 00:00:00,0.2,原料降幅略大于产品售价,台华新材,经营数据,0.6,利多,5.0,1.0,-0.7226412939393757
=603125,2026-04-13 00:00:00,0.2,原材料降价幅度大于产品,常青科技,经营数据,0.6,利多,5.0,1.0,-0.7226412939393757
=603288,2026-04-13 00:00:00,0.1,未归属股份回购注销,海天味业,员工持股,0.7,利多,5.0,1.0,-0.7226412939393757
=688392,2026-04-13 00:00:00,0.1,合规无处罚利于定增推进,骄成超声,定增合规,0.7,中性,15.0,1.0,-0.7226412939393757
