code,date,score,reason,name,event_type,confidence,label,holding_days,vol,factor
600674,2026-04-10,2.0,控股股东增持计划已实施完毕,川投能源,增持,0.95,利多,,0.28284271247461895,2.9030169692863144
601658,2026-04-10,2.3,控股股东增持超5亿,邮储银行,增持,0.9,利多,,0.4949747468305831,2.9030169692863144
603380,2026-04-10,1.8,公司拟回购股份用于激励,易德龙,回购,0.8,利多,,0.21908902300206645,2.9030169692863144
603933,2026-04-10,2.4,筹划收购资产并配套融资,睿能科技,重组,0.8,利多,,0.6000000000000001,2.9030169692863144
688591,2026-04-10,0.7,净利润增长且实施现金分红,泰凌微,分红,0.8,利多,,0.21213203435596423,2.381613497221417
603334,2026-04-10,0.8,每10股派3.5元分红积极,丰倍生物,分红,0.85,利多,,0.282842712474619,1.841541291573931
002738,2026-04-10,2.3,一季度净利同比暴增超270%,中矿资源,业绩,0.95,利多,,0.9192388155425117,1.4676451492025946
002895,2026-04-10,2.1,分红回购占净利超91%,川恒股份,分红,0.95,利多,,1.0606601717798212,0.869411321408457
002458,2026-04-10,1.8,鸡苗种猪量价齐升，营收大增,益生股份,业绩,0.9,利多,,1.0,0.6633071399850656
300037,2026-04-10,1.8,一季度净利同比预增超100%,新宙邦,业绩,0.95,利多,,1.0,0.6633071399850656
605338,2026-04-10,1.8,分红比例超100%高比例回馈,巴比食品,分红,0.95,利多,,1.0,0.6633071399850656
688188,2026-04-10,1.8,净利高增，高送转加大额分红,柏楚电子,分红,0.95,利多,,1.0,0.6633071399850656
000722,2026-04-10,1.5,一季度净利同比大增超165%,湖南发展,业绩,0.9,利多,,1.0,0.3196072929357241
001288,2026-04-10,1.5,净利增长叠加回购注销分红,运机集团,分红,0.9,利多,,1.0,0.3196072929357241
003008,2026-04-10,1.5,分红比例超100%，高回报,开普检测,分红,0.9,利多,,1.0,0.3196072929357241
300095,2026-04-10,1.5,注销6.11%回购股份增厚EPS,华伍股份,回购,0.95,利多,,1.0,0.3196072929357241
300442,2026-04-10,1.5,净利大增且分红比例超三成,润泽科技,分红,0.9,利多,,1.0,0.3196072929357241
300866,2026-04-10,1.5,净利增长，分红比例超五成,安克创新,分红,0.9,利多,,1.0,0.3196072929357241
600983,2026-04-10,1.5,净利大增且分红比例极高,惠而浦,分红,0.9,利多,,1.0,0.3196072929357241
603256,2026-04-10,1.5,净利暴增且实施现金分红,宏和科技,分红,0.9,利多,,1.0,0.3196072929357241
