code,date,factor,car_pre,car_post,car_total,leakage,reason
000531,2026-04-10,-0.25322578547984503,-0.03542,-0.02118,-0.0566,0.6258,净利润同比大增，实施现金分红
000722,2026-04-10,0.3196072929357241,-0.099509,0.026066,-0.073443,1.3549,一季度净利同比大增超165%
000778,2026-04-10,-0.8260588638954142,-0.00358,-0.038793,-0.042373,0.0845,每10股派0.75元分红稳定
001288,2026-04-10,0.3196072929357241,-0.059766,-0.026686,-0.086452,0.6913,净利增长叠加回购注销分红
001391,2026-04-10,0.2050406772526102,-0.008873,0.009488,0.000614,-14.4409,净利增长，分红比例超四成
002128,2026-04-10,-0.48235901684607263,0.074895,-0.024089,0.050806,1.4741,重组事项将上会审核
002155,2026-04-10,0.09047406156949651,0.006853,-0.017725,-0.010872,-0.6303,净利润大增，分红比例达标
002392,2026-04-10,-0.8260588638954142,0.040494,0.016304,0.056798,0.7129,净利润增长但分红比例偏低
002458,2026-04-10,0.6633071399850656,0.036233,0.005302,0.041535,0.8723,鸡苗种猪量价齐升，营收大增
002730,2026-04-10,-0.8260588638954142,-0.070121,-0.009959,-0.08008,0.8756,现金分红比例超50%
002738,2026-04-10,1.4676451492025946,0.046405,-0.003077,0.043328,1.071,一季度净利同比暴增超270%
002831,2026-04-10,-0.8260588638954142,0.154769,-0.010512,0.144257,1.0729,公司拟回购股份用于股权激励
002895,2026-04-10,0.869411321408457,0.021974,-0.005777,0.016197,1.3567,分红回购占净利超91%
002917,2026-04-10,-0.48235901684607263,0.057456,-0.005646,0.05181,1.109,三年累计分红占净利九成
003008,2026-04-10,0.3196072929357241,-0.016123,0.045414,0.029291,-0.5504,分红比例超100%，高回报
300037,2026-04-10,0.6633071399850656,0.051801,0.061772,0.113572,0.4561,一季度净利同比预增超100%
300095,2026-04-10,0.3196072929357241,0.012137,0.017672,0.029809,0.4072,注销6.11%回购股份增厚EPS
300190,2026-04-10,-0.48235901684607263,0.024,0.021951,0.045951,0.5223,董监高完成增持计划
300342,2026-04-10,-1.0551920952616418,0.010759,0.039002,0.049762,0.2162,净利下滑但维持现金分红
300351,2026-04-10,-1.0551920952616418,-0.010176,0.000639,-0.009537,1.067,每10股派0.41元现金
300414,2026-04-10,-1.0551920952616418,0.010067,0.000717,0.010784,0.9335,现金分红比例刚达30%
300442,2026-04-10,0.3196072929357241,0.037633,-0.002864,0.034769,1.0824,净利大增且分红比例超三成
300444,2026-04-10,-0.25322578547984503,0.016534,-0.011577,0.004956,3.336,净利翻倍拟派发现金
300562,2026-04-10,0.09047406156949651,-0.017023,0.009893,-0.007129,2.3878,净利增长，分红比例近七成
300611,2026-04-10,-0.48235901684607263,-0.0187,-0.005869,-0.024569,0.7611,净利润大幅增长，实施现金分红
300628,2026-04-10,-0.48235901684607263,0.045144,0.008435,0.053579,0.8426,一季度净利预增14%-18%
300633,2026-04-10,-0.024092554113617423,-0.014347,0.022851,0.008503,-1.6873,首次实施回购并拟注销股份
300693,2026-04-10,-0.7114922482123004,0.085345,-0.019243,0.066102,1.2911,净利润稳步增长，实施现金分红
300741,2026-04-10,-0.48235901684607263,0.047226,-0.018365,0.028861,1.6363,收购盈利增长子公司股权
300771,2026-04-10,-0.024092554113617423,-0.004819,0.006541,0.001722,-2.7992,分红比例超50%回馈股东
300866,2026-04-10,0.3196072929357241,-0.035142,0.113767,0.078625,-0.447,净利增长，分红比例超五成
300922,2026-04-10,-0.024092554113617423,0.007854,0.006549,0.014403,0.5453,现金分红比例达74.99%
300979,2026-04-10,-0.25322578547984503,-0.002234,-0.020542,-0.022776,0.0981,高比例分红，派息率达76%
301148,2026-04-10,-0.25322578547984503,0.03516,-0.008829,0.026331,1.3353,盈利稳定且分红比例较高
301628,2026-04-10,-0.48235901684607263,0.054123,-0.024607,0.029516,1.8337,净利润增长，分红比例达标
600416,2026-04-10,-0.48235901684607263,-0.024577,-0.010459,-0.035035,0.7015,减值转回净额超2300万增利
600499,2026-04-10,-0.8260588638954142,0.048408,0.068075,0.116483,0.4156,授予预留份额绑定核心团队
