code,name,date,score,title,event_type,confidence,label,reason,holding_days
600461,洪城环境,2026-04-16,1.9,江西洪城环境股份有限公司关于2025年年度利润分配方案的公告,分红,0.95,利多,每10股派4.67元分红率超150%,15
603906,龙蟠科技,2026-04-16,1.8,江苏龙蟠科技集团股份有限公司2026年第一季度业绩预增公告,业绩预增,0.95,利多,净利润同比暴增超8倍扭亏,15
600768,宁波富邦,2026-04-16,1.8,宁波富邦2026年第一季度业绩预告的自愿性披露公告,业绩预告,0.9,利多,一季度净利润预增近4至6倍,12
301283,聚胶股份,2026-04-16,1.8,关于2025年度利润分配及资本公积转增股本预案的公告,分红,0.95,利多,每10股派15元并高送转,15
688273,麦澜德,2026-04-16,1.8,关于2025年度利润分配方案的公告,分红,0.9,利多,每10股派5元分红率超77%,15
603213,镇洋发展,2026-04-16,1.8,浙江镇洋发展股份有限公司关于2025年度利润分配预案的公告,分红,0.95,利多,分红比例超140%极高,15
601339,百隆东方,2026-04-16,1.8,百隆东方关于2025年度利润分配及2026年度中期分红方案的公告,分红,0.9,利多,净利增60%，累计分红超90%,15
002407,多氟多,2026-04-16,1.8,关于2025年度利润分配预案的公告,分红,0.9,利多,扭亏为盈且超额分红回购,15
601995,中金公司,2026-04-16,1.6,中金公司2026年第一季度业绩预增公告,业绩预增,0.9,利多,净利润同比预增65%至90%,14
600283,钱江水利,2026-04-16,1.6,钱江水利开发股份有限公司2025年度利润分配方案的公告,分红,0.9,利多,分红比例超64%高回馈,12
002922,伊戈尔,2026-04-16,1.5,2026年第一季度业绩预告,业绩预增,0.9,利多,净利润预增超50%，海外订单放量,15
600176,中国巨石,2026-04-16,1.5,中国巨石2026年第一季度业绩预增公告,业绩预增,0.9,利多,一季度净利预增60%至80%,10
688019,安集科技,2026-04-16,1.5,2025年年度利润分配及公积金转增股本方案公告,分红,0.9,利多,净利润高增且高送转,15
603383,顶点软件,2026-04-16,1.5,顶点软件关于2025年年度利润分配方案及2026年中期分红授权的公告,分红,0.9,利多,分红比例超九成极高,14
301286,侨源股份,2026-04-16,1.5,关于2025年度利润分配预案的公告,分红,0.9,利多,分红比例近八成较高,14
301128,强瑞技术,2026-04-16,1.5,关于公司2025年度利润分配及公积金转增股本预案的公告,分红,0.9,利多,净利大增四成，高送转分红,15
300685,艾德生物,2026-04-16,1.5,关于2025年度利润分配方案的公告,分红,0.9,利多,每10股派4.5元比例高,14
603358,华达科技,2026-04-16,1.5,华达科技股份有限公司关于持股5%以上股东增持股份计划实施结果及新一轮增持计划公告,增持,0.9,利多,大股东超额完成并新一轮增持,14
300298,三诺生物,2026-04-16,1.5,回购报告书,回购注销,0.9,利多,大额回购并注销提振股东价值,15
603075,热威股份,2026-04-16,1.5,未来三年（2026年-2028年）股东分红回报规划,分红,0.9,利多,业绩增长且分红比例极高,15
002001,新 和 成,2026-04-16,1.4,关于2025年度利润分配预案的公告,分红,0.9,利多,净利增15%，分红超24亿,20
605058,澳弘电子,2026-04-16,1.4,澳弘电子关于2025年度利润分配预案的公告,分红,0.9,利多,每10股派5元分红比例高,12
688612,威迈斯,2026-04-16,1.3,关于2025年度利润分配预案的公告,分红,0.85,利多,净利增40%，分红比例近50%,14
300967,晓鸣股份,2026-04-16,1.3,关于2025年度利润分配预案的公告,分红,0.85,利多,每10股派2.5元超五成,10
300113,顺网科技,2026-04-16,1.3,杭州顺网科技股份有限公司关于部分回购股份注销完成暨股份变动的公告,回购注销,0.95,利多,注销近千万股直接增厚业绩,12
300296,利亚德,2026-04-16,1.2,关于2025年度利润分配预案的公告,分红,0.85,利多,扭亏为盈且高分红,14
002823,凯中精密,2026-04-16,1.2,关于提请股东会授权董事会制定并执行2026年中期分红方案的公告,分红,0.85,利多,净利增37%，分红比例近60%,14
600392,盛和资源,2026-04-16,1.2,盛和资源控股股份有限公司关于取得金融机构股票回购专项贷款承诺函的公告,回购,0.9,利多,获专项贷款支持回购，资金到位,15
002169,智光电气,2026-04-16,1.2,广发证券股份有限公司关于广州智光电气股份有限公司重大资产重组审核关注要点落实情况表及行业等相关事项核对表,重组,0.85,利多,重组增厚每股收益与净利,10
600267,海正药业,2026-04-16,1.2,浙江海正药业股份有限公司2026年第一季度业绩快报公告,业绩,0.85,利多,净利润同比大增83%，业绩超预期,10
600995,南网储能,2026-04-16,1.2,南方电网储能股份有限公司2026年第一季度业绩快报公告,业绩快报,0.85,利多,一季度净利增21%业绩向好,10
688585,上纬新材,2026-04-16,1.2,华泰联合证券有限责任公司关于上海智元恒岳科技合伙企业（有限合伙）要约收购上纬新材料科技股份有限公司之2025年度持续督导意见,重组,0.8,利多,引入新战投变更实控人,15
301087,可孚医疗,2026-04-16,1.2,关于回购股份事项前十名股东和前十名无限售条件股东持股情况的公告,回购实施,0.85,利多,公司真金白银实施股份回购,10
301236,软通动力,2026-04-16,1.2,关于首次回购公司股份的公告,回购实施,0.85,利多,启动回购并实际买入超千万,10
003027,同兴科技,2026-04-16,1.2,关于2025年度利润分配预案的公告,分红,0.85,利多,利润翻倍高分红加回购,15
605580,恒盛能源,2026-04-16,1.0,恒盛能源股份有限公司2025年度利润分配方案公告,分红,0.85,利多,净利润增长且授权中期分红,12
600757,长江传媒,2026-04-16,1.0,长江传媒2025年度利润分配预案公告,分红,0.85,利多,净利稳健增长，近半利润分红,14
603977,国泰集团,2026-04-16,1.0,江西国泰集团股份有限公司2025年度利润分配预案公告,分红,0.85,利多,净利增近四成，分红比例达标,14
600089,特变电工,2026-04-16,1.0,特变电工股份有限公司2025年年度利润分配预案公告,分红,0.9,利多,每股派0.36元总额大,15
600699,均胜电子,2026-04-16,1.0,均胜电子关于董事会获得回购H股一般性授权通知债权人的公告,回购,0.85,利多,获授权回购H股，彰显信心,15
603077,和邦生物,2026-04-16,1.0,四川和邦生物科技股份有限公司第四期员工持股计划,员工持股,0.8,利多,大额员工持股绑定利益,15
603890,春秋电子,2026-04-16,1.0,关于全资子公司全面要约收购Asetek A/S全部股份的进展公告,重组,0.75,利多,海外并购获批推进顺利,12
300997,欢乐家,2026-04-16,1.0,关于变更部分回购股份用途并注销及减少注册资本暨通知债权人的公告,回购注销,0.85,利多,注销回购股份提升每股收益,10
301087,可孚医疗,2026-04-16,1.0,关于回购股份事项前十名股东和前十名无限售条件股东持股情况的公告,回购计划,0.8,利多,拟斥资1至2亿元回购股份,10
002600,领益智造,2026-04-16,1.0,关于首次回购公司股份的公告,股份回购,0.9,利多,首次回购落地彰显信心,10
600704,物产中大,2026-04-16,1.0,物产中大关于以集中竞价交易方式首次回购公司股份公告,股份回购,0.9,利多,首次回购护盘提振信心,10
688499,利元亨,2026-04-16,1.0,广东利元亨智能装备股份有限公司关于2025年度利润分配预案的公告,分红,0.9,利多,盈利且大额回购回报股东,12
601877,正泰电器,2026-04-16,1.0,正泰电器关于公司2025年度利润分配预案的公告,分红,0.85,利多,业绩稳健增长分红稳定,14
600512,腾达建设,2026-04-16,1.0,腾达建设关于工程中标的公告,订单,0.9,利多,中标1.89亿工程项目,10
600739,辽宁成大,2026-04-16,0.9,辽宁成大股份有限公司关于注销回购股份并减少注册资本暨通知债权人的公告,回购注销,0.85,利多,注销回购股份增厚EPS,10
688120,华海清科,2026-04-16,0.8,2026年限制性股票激励计划（草案）,股权激励,0.9,利多,考核目标高增长彰显信心,15
688206,概伦电子,2026-04-16,0.8,2025年度利润分配方案公告,分红,0.85,利多,扭亏为盈并实施分红,10
