code,name,date,score,title,event_type,confidence,label,reason,holding_days
600519,贵州茅台,2026-04-17,1.8,贵州茅台关于2025年年度利润分配方案及2026年中期利润分配安排的公告,分红,0.95,利多,每股分红近28元，分红率超240%,15
605128,上海沿浦,2026-04-17,1.8,上海沿浦精工科技（集团）股份有限公司关于公司2025年度利润分配及资本公积转增股本方案的公告,分红,0.95,利多,净利大增且高送转,15
002003,伟星股份,2026-04-17,1.8,公司2025年度利润分配预案,分红,0.9,利多,分红比例超九成高股息,15
300773,拉卡拉,2026-04-17,1.8,2025年度利润分配及资本公积金转增股本方案的公告,分红转增,0.95,利多,净利增2倍且高送转分红,20
000581,威孚高科,2026-04-17,1.8,关于2025年度利润分配方案的公告,分红,0.95,利多,净利超10亿高分红加回购,20
002460,赣锋锂业,2026-04-17,1.8,2026年第一季度业绩预告,业绩预增,0.95,利多,一季度扭亏净利预增超5倍,15
301419,阿莱德,2026-04-17,1.6,上海阿莱德实业集团股份有限公司关于2025年度利润分配预案的公告,分红转增,0.9,利多,高比例分红加转增股本,12
603416,信捷电气,2026-04-17,1.5,无锡信捷电气股份有限公司关于2025年利润分配预案的公告,分红,0.9,利多,现金分红比例高达95%,12
300627,华测导航,2026-04-17,1.5,关于公司2025年年度利润分配预案的公告,分红,0.9,利多,净利润高增且分红优厚,14
002566,益盛药业,2026-04-17,1.5,吉林省集安益盛药业股份有限公司关于2025年度利润分配预案的公告,分红,0.9,利多,分红比例高达91.3%超预期,15
000973,佛塑科技,2026-04-17,1.5,佛塑科技关于发行股份及支付现金购买资产并募集配套资金暨关联交易之标的资产2025年度业绩承诺完成情况的公告,业绩承诺,0.9,利多,标的业绩大幅超预期完成承诺,15
002655,共达电声,2026-04-17,1.5,共达电声股份有限公司关于控股股东的一致行动人增持公司股份计划的公告,股东增持,0.9,利多,一致行动人拟增持超1.5亿,20
002271,东方雨虹,2026-04-17,1.3,关于2025年度利润分配预案的公告,分红,0.85,利多,半年度已高分红加回购注销,12
002556,辉隆股份,2026-04-17,1.3,公司关于2025年度利润分配方案的公告,分红,0.9,利多,累计分红占净利超71%,10
605050,福然德,2026-04-17,1.3,福然德股份有限公司关于2025年期末利润分配预案的公告,分红,0.9,利多,净利增长且分红超六成,14
300557,理工光科,2026-04-17,1.2,武汉理工光科股份有限公司关于2025年度利润分配和资本公积金转增股本预案的公告,分红,0.85,利多,利润高增且分红转增,10
301158,德石股份,2026-04-17,1.2,关于2025年度利润分配和资本公积金转增股本预案的公告,分红,0.85,利多,净利增长且分红转增,10
000541,佛山照明,2026-04-17,1.2,利润分配管理制度（2026年修订）,分红,0.9,利多,分红回购总额占净利74%,10
300066,三川智慧,2026-04-17,1.2,关于2025年度利润分配预案的公告,分红,0.85,利多,净利润翻倍分红提升,10
000719,中原传媒,2026-04-17,1.2,关于2025年度利润分配预案的公告,分红,0.9,利多,净利增33%且分红近半,15
300335,迪森股份,2026-04-17,1.2,关于公司2025年度利润分配预案的公告,分红,0.85,利多,分红比例超100%超预期,14
300079,数码视讯,2026-04-17,1.2,关于公司2025年度利润分配预案的公告,分红,0.9,利多,分红比例超85%叠加回购,15
688510,航亚科技,2026-04-17,1.2,无锡航亚科技股份有限公司关于2025年度利润分配预案的公告,分红,0.9,利多,净利过亿分红比例超50%,14
300633,开立医疗,2026-04-17,1.2,关于2025年度利润分配预案的公告,分红,0.85,利多,盈利近2亿，分红比例近40%,12
002128,电投能源,2026-04-17,1.2,关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易获得深圳证券交易所并购重组审核委员会审核通过的公告,重组过会,0.9,利多,重组获交易所审核通过,15
601933,永辉超市,2026-04-17,1.2,永辉超市股份有限公司关于变更回购股份用途并注销的公告,股份注销,0.9,利多,注销近1.5亿股增厚收益,15
301392,汇成真空,2026-04-17,1.1,关于公司2025年度利润分配预案的公告,分红,0.8,利多,分红比例近90%，回馈股东,10
301393,昊帆生物,2026-04-17,1.1,关于公司2025年度利润分配预案的公告,分红,0.85,利多,盈利过亿，分红比例近38%,12
600292,电投水电,2026-04-17,1.0,电投水电2025年度利润分配预案的公告,分红,0.85,利多,分红比例超50%，符合规划,10
002734,利民股份,2026-04-17,1.0,公司关于2025年度利润分配预案的公告,分红,0.85,利多,每10股派4.5元，分红稳健,10
